lane,run_index,boundary_index,boundary_temperature_c,sample_count,median_us,p95_us,max_us,max_pass_index,max_row_index,calls_over_max_ceiling,exceedance_fraction,calls_with_gc_activity,exceedances_with_gc_activity,nonzero_allocation_calls,fallback_calls
A,5,286,277.9191054522993,64,5.2,5.4,9.6,24,286,0,0,0,0,0,0
A,5,287,278.13301288485525,64,5.2,5.3,5.7,2,287,0,0,0,0,0,0
A,5,288,278.3475722014904,64,5.2,5.3,5.7,2,288,0,0,0,0,0,0
A,5,289,278.56269953846925,64,5.2,5.4,7.1,32,289,0,0,0,0,0,0
A,5,290,278.77853245735173,64,5.2,5.3,5.6,2,290,0,0,0,0,0,0
A,5,291,278.99378421306585,64,5.2,5.3,5.7,2,291,0,0,0,0,0,0
A,5,292,279.20919802188894,64,5.2,5.3,5.7,2,292,0,0,0,0,0,0
A,5,293,279.42397137880334,64,5.2,5.3,5.6,2,293,0,0,0,0,0,0
A,5,294,279.63773699402816,64,5.2,5.3,6.1,23,294,0,0,0,0,0,0
A,5,295,279.8510682284831,64,5.2,5.3,5.7,2,295,0,0,0,0,0,0
A,5,296,280,64,3.9,4,4.1,2,296,0,0,0,0,0,0
A,5,297,280.0627813100815,64,5.2,5.3,5.8,2,297,0,0,0,0,0,0
A,5,298,280.2734861910343,64,5.2,5.3,6.7,41,298,0,0,0,0,0,0
A,5,299,280.48288751244525,64,5.2,5.3,6.9,34,299,0,0,0,0,0,0
A,5,300,280.6903158664703,64,5.2,5.3,5.5,2,300,0,0,0,0,0,0
A,5,301,280.8963150322435,64,5.2,5.2,5.6,2,301,0,0,0,0,0,0
A,5,302,281.1006812334059,64,5.2,5.3,5.5,2,302,0,0,0,0,0,0
A,5,303,281.3032880485058,64,5.2,5.3,5.5,2,303,0,0,0,0,0,0
A,5,304,281.5040671765804,64,5.2,5.3,5.4,2,304,0,0,0,0,0,0
