boundary_index,boundary_temperature_c,probe_side,reference_region,reference_phase,reference_temperature_c,reference_pressure_mpa,reference_quality,production_resolved,production_phase,production_temperature_c,production_pressure_mpa,production_quality,phase_matches,production_minus_reference_temperature_c,production_minus_reference_pressure_mpa,is_finite,boundary_max_liquid_pressure_jump_mpa,boundary_max_liquid_temperature_jump_c,boundary_max_vapor_pressure_jump_mpa,boundary_max_vapor_temperature_jump_c
265,275.1527390658854,R1-SIDE,REGION-1,SubcooledLiquid,275.1527390658854,5.960282286154091,,true,SubcooledLiquid,275.15265447709044,5.960528421619086,,true,-8.45887949481039E-05,0.0002461354649954117,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
265,275.1527390658854,R4-LIQUID-SIDE,REGION-4,SaturatedMixture,275.1527390658854,5.960222683927252,1E-06,true,SaturatedMixture,275.15268142166394,5.960245855891426,9.779347477028192E-07,true,-5.764422144238779E-05,2.317196417411793E-05,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
265,275.1527390658854,R4-VAPOR-SIDE,REGION-4,SaturatedMixture,275.1527390658854,5.960222683927252,0.999999,true,SaturatedMixture,275.1532508133405,5.960298008655526,0.9999997296023663,true,0.00051174745510707,7.532472827431747E-05,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
265,275.1527390658854,R2-SIDE,REGION-2,SuperheatedVapor,275.1527390658854,5.960163081700412,,true,SuperheatedVapor,275.1518776448273,5.960143925145637,,true,-0.000861421058061751,-1.9156554775356938E-05,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
266,275.1843705475329,R1-SIDE,REGION-1,SubcooledLiquid,275.1843705475329,5.963176797082566,,true,SubcooledLiquid,275.1842797364892,5.963449147386608,,true,-9.081104371944093E-05,0.000272350304041602,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
266,275.1843705475329,R4-LIQUID-SIDE,REGION-4,SaturatedMixture,275.1843705475329,5.963117165910907,1E-06,true,SaturatedMixture,275.18430732314744,5.9631425933173015,9.75769839447183E-07,true,-6.322438548522769E-05,2.5427406394662455E-05,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
266,275.1843705475329,R4-VAPOR-SIDE,REGION-4,SaturatedMixture,275.1843705475329,5.963117165910907,0.999999,true,SaturatedMixture,275.1849318617095,5.96319979719582,0.9999998004521294,true,0.0005613141765934415,8.26312849131483E-05,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
266,275.1843705475329,R2-SIDE,REGION-2,SuperheatedVapor,275.1843705475329,5.963057534739248,,true,SuperheatedVapor,275.18350861415786,5.963038310328053,,true,-0.0008619333750630176,-1.922441119450724E-05,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
267,275.18437056839457,R1-SIDE,REGION-1,SubcooledLiquid,275.18437056839457,5.963176798991923,,true,SubcooledLiquid,275.18427975734767,5.963449149310165,,true,-9.081104690267239E-05,0.00027235031824179856,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
267,275.18437056839457,R4-LIQUID-SIDE,REGION-4,SaturatedMixture,275.18437056839457,5.963117167820244,1E-06,true,SaturatedMixture,275.18430734289416,5.963142595125965,9.757699443196938E-07,true,-6.322550041204522E-05,2.542730572052676E-05,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
267,275.18437056839457,R4-VAPOR-SIDE,REGION-4,SaturatedMixture,275.18437056839457,5.963117167820244,0.999999,true,SaturatedMixture,275.18493188259424,5.963199799108723,0.9999998004521072,true,0.0005613141996718696,8.263128847829648E-05,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
267,275.18437056839457,R2-SIDE,REGION-2,SuperheatedVapor,275.18437056839457,5.9630575366485665,,true,SuperheatedVapor,275.183508635022,5.963038312237729,,true,-0.0008619333725619072,-1.9224410837459516E-05,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
268,275.1843705892562,R1-SIDE,REGION-1,SubcooledLiquid,275.1843705892562,5.963176800901273,,true,SubcooledLiquid,275.184279778206,5.963449151233281,,true,-9.081105019959068E-05,0.0002723503320076759,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
268,275.1843705892562,R4-LIQUID-SIDE,REGION-4,SaturatedMixture,275.1843705892562,5.963117169729576,1E-06,true,SaturatedMixture,275.18430736264077,5.96314259693464,9.757700492060413E-07,true,-6.32266154525496E-05,2.5427205064154634E-05,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
268,275.1843705892562,R4-VAPOR-SIDE,REGION-4,SaturatedMixture,275.1843705892562,5.963117169729576,0.999999,true,SaturatedMixture,275.18493190347874,5.963199801021615,0.9999998004520848,true,0.000561314222522924,8.263129203900377E-05,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
268,275.1843705892562,R2-SIDE,REGION-2,SuperheatedVapor,275.1843705892562,5.963057538557878,,true,SuperheatedVapor,275.18350865588593,5.963038314147395,,true,-0.0008619333702881704,-1.9224410483076326E-05,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
269,275.26000683307655,R1-SIDE,REGION-1,SubcooledLiquid,275.26000683307655,5.97010241956752,,true,SubcooledLiquid,275.25991088871,5.970395993269677,,true,-9.594436653515004E-05,0.00029357370215699063,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
269,275.26000683307655,R4-LIQUID-SIDE,REGION-4,SaturatedMixture,275.26000683307655,5.970042719140328,1E-06,true,SaturatedMixture,275.25993900886203,5.970069989037657,9.739705681425888E-07,true,-6.782421451134724E-05,2.726989732870777E-05,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
269,275.26000683307655,R4-VAPOR-SIDE,REGION-4,SaturatedMixture,275.26000683307655,5.970042719140328,0.999999,true,SaturatedMixture,275.26060837887405,5.970131299200389,0.999999858676483,true,0.0006015457975081517,8.858006006118302E-05,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
269,275.26000683307655,R2-SIDE,REGION-2,SuperheatedVapor,275.26000683307655,5.969983018713137,,true,SuperheatedVapor,275.2591441249846,5.969963700407302,,true,-0.0008627080919723085,-1.931830583501437E-05,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
270,275.3103550732136,R1-SIDE,REGION-1,SubcooledLiquid,275.3103550732136,5.974715950385823,,true,SubcooledLiquid,275.31026333726595,5.974991286561218,,true,-9.173594764888549E-05,0.0002753361753944361,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
270,275.3103550732136,R4-LIQUID-SIDE,REGION-4,SaturatedMixture,275.3103550732136,5.974656203823785,1E-06,true,SaturatedMixture,275.31029106425365,5.974681926610357,9.75420035429027E-07,true,-6.400895995284372E-05,2.5722786571868994E-05,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
270,275.3103550732136,R4-VAPOR-SIDE,REGION-4,SaturatedMixture,275.3103550732136,5.974656203823785,0.999999,true,SaturatedMixture,275.3109222394248,5.9747397383613094,0.9999998099876128,true,0.000567166211226322,8.353453752452111E-05,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
270,275.3103550732136,R2-SIDE,REGION-2,SuperheatedVapor,275.3103550732136,5.974596457261747,,true,SuperheatedVapor,275.30949283093037,5.974577225912931,,true,-0.0008622422832331722,-1.9231348815651472E-05,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
271,275.46072360575204,R1-SIDE,REGION-1,SubcooledLiquid,275.46072360575204,5.988510788771929,,true,SubcooledLiquid,275.46068077712005,5.988578071205074,,true,-4.282863199023268E-05,6.728243314491067E-05,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
