candidate_id,probe_id,logical_step,elapsed_s,path_id,from_node,to_node,candidate_resolved,candidate_driving_pa,candidate_flow_kg_s,canonical_flow_kg_s,if97_counterfactual_flow_kg_s,abs_candidate_minus_canonical_flow_kg_s,abs_candidate_minus_if97_flow_kg_s,driving_sign_changed_from_production
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,80784,780,MCP,suction,pressure,true,1003816.7857175546,141.69098670822746,98.70453446573217,141.68979707915403,42.98645224249529,0.0011896290734227932,false
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,80784,780,CHANNEL,pressure,outlet,true,-567428.0895781356,-150.6556457061116,98.76044244956803,-150.56613782145132,249.41608815567963,0.0895078846602928,true
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,80784,780,RETURN,outlet,drum,true,455391.17062543164,134.96535416549415,98.72069274565064,134.8362733494581,36.24466141984351,0.12908081603603705,false
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,80784,780,FEEDWATER-PUMP,feedwater-inventory,drum,true,1111098.2138662208,33.33313987409858,15.717618890018285,33.335136151207784,17.61552098408029,0.001996277109206801,false
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,86784,840,MCP,suction,pressure,true,1004003.6766883266,141.70417613382654,98.77053345414275,141.70338544009473,42.933642679683786,0.0007906937318011842,false
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,86784,840,CHANNEL,pressure,outlet,true,-568359.2939083901,-150.77921526634765,98.82570231362976,-150.6996475053378,249.6049175799774,0.07956776100985508,true
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,86784,840,RETURN,outlet,drum,true,456199.9550244078,135.0851516672958,98.77742532872517,134.9425452774478,36.30772633857063,0.14260638984799812,false
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,86784,840,FEEDWATER-PUMP,feedwater-inventory,drum,true,1115001.198851427,33.3916336655071,15.727760946968045,33.391898126624945,17.663872718539054,0.00026446111784395043,false
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,92784,900,MCP,suction,pressure,true,1004130.6230291501,141.71313439686176,98.81669314030025,141.7127833522704,42.896441256561516,0.000351044591354821,false
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,92784,900,CHANNEL,pressure,outlet,true,-569434.3446790589,-150.92174723068362,98.87092449545497,-150.85588213249673,249.7926717261386,0.06586509818689024,true
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,92784,900,RETURN,outlet,drum,true,456693.5718838758,135.15821423559515,98.83477976193345,135.05092579112213,36.323434473661706,0.10728844447302777,false
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,92784,900,FEEDWATER-PUMP,feedwater-inventory,drum,true,1118447.1220608633,33.44319246215683,15.732581783068744,33.44591117501852,17.710610679088084,0.0027187128616930067,false
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,98784,960,MCP,suction,pressure,true,1004196.8946971709,141.71781078588327,98.88752565577155,141.71792105455938,42.83028513011172,0.00011026867611008129,false
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,98784,960,CHANNEL,pressure,outlet,true,-570077.9242229927,-151.0070096681598,98.94087432528579,-150.95782243743463,249.9478839934456,0.04918723072518105,true
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,98784,960,RETURN,outlet,drum,true,457147.17833241634,135.22531986760708,98.8967865236066,135.15472003212207,36.32853334400049,0.07059983548501236,false
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,98784,960,FEEDWATER-PUMP,feedwater-inventory,drum,true,1122072.0650829142,33.49734414969214,15.747141305451722,33.502001972535965,17.75020284424042,0.004657822843824988,false
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,104784,1020,MCP,suction,pressure,true,1004113.9537173009,141.71195812049885,98.95815158606004,141.7125035025319,42.75380653443881,0.0005453820330387771,false
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,104784,1020,CHANNEL,pressure,outlet,true,-570496.9676919633,-151.06249934275064,99.00991784680633,-151.03247113223784,250.07241718955697,0.03002821051279625,true
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,104784,1020,RETURN,outlet,drum,true,457621.1061707651,135.29539625142684,98.97372381585679,135.26269313046598,36.32167243557005,0.03270312096086059,false
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,104784,1020,FEEDWATER-PUMP,feedwater-inventory,drum,true,1125524.3864880307,33.54883584400554,15.759644825253183,33.554979702223704,17.789191018752355,0.006143858218166542,false
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,110784,1080,MCP,suction,pressure,true,1003804.3344310878,141.69010794202168,103.35291123901287,141.69100543525067,38.337196703008814,0.0008974932289902426,false
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,110784,1080,CHANNEL,pressure,outlet,true,-571253.1517645649,-151.16258158215808,103.39386446922852,-151.15511765947855,254.55644605138662,0.007463922679534107,true
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,110784,1080,RETURN,outlet,drum,true,460174.0698841494,135.6722624391809,100.1518209113018,135.67879231881403,35.520441527879115,0.006529879633120572,false
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,110784,1080,FEEDWATER-PUMP,feedwater-inventory,drum,true,1146283.28978902,33.85680566428292,16.342835448928604,33.8638673386822,17.51397021535432,0.007061674399274409,false
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,116784,1140,MCP,suction,pressure,true,995274.6759499221,141.08682971489026,107.63222171227824,141.08548718853925,33.45460800261202,0.001342526351010065,false
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,116784,1140,CHANNEL,pressure,outlet,true,-566461.8381462123,-150.5273182045322,107.66330833044553,-150.5275525270191,258.19062653497775,0.00023432248690369306,true
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,116784,1140,RETURN,outlet,drum,true,473555.3594404909,137.63071742027518,106.70858891241942,137.64360916020055,30.92212850785576,0.012891739925379397,false
