lane,run_index,boundary_index,boundary_temperature_c,sample_count,median_us,p95_us,max_us,max_pass_index,max_row_index,calls_over_max_ceiling,exceedance_fraction,calls_with_gc_activity,exceedances_with_gc_activity,nonzero_allocation_calls,fallback_calls
B,1,227,271.3093077659606,64,5.1,5.2,7,2,227,0,0,0,0,0,0
B,1,228,271.36016235947625,64,5,5.1,5.3,2,228,0,0,0,0,0,0
B,1,229,271.4109251201154,64,5,5.1,6.6,28,229,0,0,0,0,0,0
B,1,230,271.46150371432316,64,5,5.5,6.9,0,230,0,0,0,0,0,0
B,1,231,271.51193360686295,64,5,5.4,6.8,1,231,0,0,0,0,0,0
B,1,232,271.5621550083159,64,5.1,5.2,7.3,2,232,0,0,0,0,0,0
B,1,233,271.6121370434762,64,5.1,5.1,5.6,2,233,0,0,0,0,0,0
B,1,234,271.66190503835685,64,5.1,5.1,5.3,2,234,0,0,0,0,0,0
B,1,235,271.71136682629583,64,5.1,5.1,5.3,2,235,0,0,0,0,0,0
B,1,236,271.76054902672774,64,5.05,5.5,7.6,30,236,0,0,0,0,0,0
B,1,237,271.80945309996594,64,5.1,5.2,5.5,3,237,0,0,0,0,0,0
B,1,238,271.85805572271363,64,5.1,5.2,7.1,2,238,0,0,0,0,0,0
B,1,239,271.90634704828267,64,5.1,5.1,5.2,2,239,0,0,0,0,0,0
B,1,240,271.95431818962084,64,5,5.2,5.3,2,240,0,0,0,0,0,0
B,1,241,272.00196151137345,64,5.1,5.5,6.9,1,241,0,0,0,0,0,0
B,1,242,272.04927046298974,64,5.1,5.2,6.9,1,242,0,0,0,0,0,0
B,1,243,272.09623962044714,64,5.1,5.4,7.2,2,243,0,0,0,0,0,0
B,1,244,272.1428643941882,64,5.1,5.1,7.1,2,244,0,0,0,0,0,0
B,1,245,272.18914115428936,64,5.1,5.2,6.7,62,245,0,0,0,0,0,0
B,1,246,272.23506702184693,64,5.1,5.1,5.3,2,246,0,0,0,0,0,0
B,1,247,272.2806400775909,64,5.1,5.3,6.7,1,247,0,0,0,0,0,0
B,1,248,272.32585906982433,64,5.1,5.2,5.6,1,248,0,0,0,0,0,0
B,1,249,272.3707235813141,64,5.1,5.2,7.1,2,249,0,0,0,0,0,0
B,1,250,272.41523357033736,64,5,5.2,6.6,32,250,0,0,0,0,0,0
B,1,251,272.45532531738286,64,5.1,5.1,5.2,2,251,0,0,0,0,0,0
B,1,252,272.4857955574988,64,5.1,5.2,7,1,252,0,0,0,0,0,0
B,1,253,273.6084401816131,64,5,5.2,6.8,1,253,0,0,0,0,0,0
B,1,254,273.6215528190136,64,5,5.3,6.6,27,254,0,0,0,0,0,0
B,1,255,273.68795581161976,64,5,5.1,7,2,255,0,0,0,0,0,0
B,1,256,273.8153027057647,64,5,5.1,5.3,2,256,0,0,0,0,0,0
B,1,257,273.84035230278926,64,5,5.1,6.4,12,257,0,0,0,0,0,0
B,1,258,273.96743665337556,64,5,5.3,6.7,1,258,0,0,0,0,0,0
B,1,259,274.1351564466953,64,5,5.1,6.7,1,259,0,0,0,0,0,0
B,1,260,274.3160987555981,64,5,5.1,7,2,260,0,0,0,0,0,0
B,1,261,274.4903302550314,64,5,5.2,7,2,261,0,0,0,0,0,0
B,1,262,274.66211806535716,64,5,5.1,5.3,2,262,0,0,0,0,0,0
B,1,263,274.83064057230956,64,5,5.1,6.6,11,263,0,0,0,0,0,0
B,1,264,274.9943043649197,64,5.1,5.5,6.8,1,264,0,0,0,0,0,0
B,1,265,275.1527390658854,64,5,5.1,5.5,3,265,0,0,0,0,0,0
B,1,266,275.1843705475329,64,5,5.2,7,2,266,0,0,0,0,0,0
B,1,267,275.18437056839457,64,5,5.1,6.6,53,267,0,0,0,0,0,0
B,1,268,275.1843705892562,64,5,5.1,6.5,19,268,0,0,0,0,0,0
B,1,269,275.26000683307655,64,5,5.4,6.8,1,269,0,0,0,0,0,0
B,1,270,275.3103550732136,64,5,5.1,6.9,1,270,0,0,0,0,0,0
B,1,271,275.46072360575204,64,5,5.4,13,2,271,0,0,0,0,0,0
B,1,272,275.6050840735436,64,5.1,5.3,22.3,37,272,0,0,0,0,0,0
B,1,273,275.7495581537486,64,5,5.1,6.4,52,273,0,0,0,0,0,0
B,1,274,275.8048092722893,64,5,5.1,5.4,2,274,0,0,0,0,0,0
B,1,275,275.8487251222133,64,5,5.2,7,0,275,0,0,0,0,0,0
B,1,276,275.95865174531946,64,5.1,5.2,5.5,1,276,0,0,0,0,0,0
B,1,277,276.1304154813289,64,5.1,5.4,7.1,2,277,0,0,0,0,0,0
B,1,278,276.3073304116723,64,5,5.1,6.6,50,278,0,0,0,0,0,0
