domain,observation_index,source_identity,c3_resolved,c4_resolved,c3_region,c4_region,c3_phase,c4_phase,c3_temperature_bits,c4_temperature_bits,c3_pressure_bits,c4_pressure_bits,c3_quality_has_value,c4_quality_has_value,c3_quality_bits,c4_quality_bits,c4_repeat_count,c4_repeat_deterministic,bit_equivalent
EXACT-V9,83,background-reference|48000|feedwater-inventory,true,true,REGION-1-NEAR-BOUNDARY-C2,REGION-1-NEAR-BOUNDARY-C2,SubcooledLiquid,SubcooledLiquid,4631884290401994152,4631884290401994152,4593175440855188332,4593175440855188332,false,false,0,0,2,true,true
EXACT-V9,84,background-reference|54000|suction,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4643445978457702400,4643445978457702400,4617818435807602759,4617818435807602759,true,true,4561480638665237478,4561480638665237478,2,true,true
EXACT-V9,85,background-reference|54000|pressure,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4643448356946837504,4643448356946837504,4617831421982317562,4617831421982317562,true,true,4561454071947755778,4561454071947755778,2,true,true
EXACT-V9,86,background-reference|54000|outlet,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4643548715520360448,4643548715520360448,4618399954104525916,4618399954104525916,true,true,4596010126315504074,4596010126315504074,2,true,true
EXACT-V9,87,background-reference|54000|drum,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4643464729755385856,4643464729755385856,4617921577439988066,4617921577439988066,true,true,4585439797391066444,4585439797391066444,2,true,true
EXACT-V9,88,background-reference|54000|feedwater-inventory,true,true,REGION-1-NEAR-BOUNDARY-C2,REGION-1-NEAR-BOUNDARY-C2,SubcooledLiquid,SubcooledLiquid,4631884290401706608,4631884290401706608,4593175440826597386,4593175440826597386,false,false,0,0,2,true,true
EXACT-V9,89,background-reference|60000|suction,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4643445978457702400,4643445978457702400,4617818435807602759,4617818435807602759,true,true,4561480638665237478,4561480638665237478,2,true,true
EXACT-V9,90,background-reference|60000|pressure,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4643448356946837504,4643448356946837504,4617831421982317562,4617831421982317562,true,true,4561454071948334649,4561454071948334649,2,true,true
EXACT-V9,91,background-reference|60000|outlet,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4643548715520884736,4643548715520884736,4618399954107599295,4618399954107599295,true,true,4596010126303932648,4596010126303932648,2,true,true
EXACT-V9,92,background-reference|60000|drum,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4643464729755385856,4643464729755385856,4617921577439988066,4617921577439988066,true,true,4585439797392592940,4585439797392592940,2,true,true
